designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 4203836821730402176",4203836821730402176,283.2870715431168,-8.758340033439415,,,,,20.347746,1.4104614,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4203082591086072704",4203082591086072704,282.2372672655523,-10.111006556160335,0.20355056810597424,-3.465476007329535,-7.302243073180091,1.110125,20.199688,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155184497306683904",4155184497306683904,280.3625756017271,-10.157762903457895,,,,,20.604471,2.5355816,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155184497306687744",4155184497306687744,280.3646266390041,-10.158800877026657,,,,,20.738323,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4253811686721719552",4253811686721719552,284.6456184628506,-6.282304630953729,,,,,20.209856,1.4322567,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4253811686721719680",4253811686721719680,284.6458608939598,-6.282469327427047,,,,,20.632444,2.3020535,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155172059066505984",4155172059066505984,280.3275784213648,-10.319438905976954,,,,,20.86781,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4253727299254473472",4253727299254473472,283.6981033506377,-6.6768723271256,,,,,20.634445,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4253755130637088768",4253755130637088768,283.67991195062166,-6.325096228400588,-0.10858801387454434,-1.990981055172001,-4.894642836691938,0.90787876,20.359108,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4253755130638488704",4253755130638488704,283.69460755302913,-6.329863686990421,,,,,20.614107,1.5789928,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4253755130638491136",4253755130638491136,283.6941570101875,-6.328325865265762,,,,,20.622149,1.3556709,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4253744062455535360",4253744062455535360,283.4592090886638,-6.542975687336266,0.171082106583433,-4.267166728266089,-7.200943916237415,1.108001,20.424715,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4253773375671576448",4253773375671576448,283.8636462046722,-6.3909337142466764,0.05258778153453869,0.5491956600505901,-1.1960775182012122,1.0890932,19.072493,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4253773375671576576",4253773375671576576,283.8639249610594,-6.391195705751812,,,,,20.481936,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4206261828912428160",4206261828912428160,287.16660691576453,-5.516094447081545,,,,,20.70615,0.79676247,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4206261828912447360",4206261828912447360,287.1568562857526,-5.5192323460858805,,,,,20.485687,0.81944466,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4252560648649960448",4252560648649960448,280.1442415931345,-8.002029027897759,0.4475914087358356,2.6360348665597506,-4.9537008697553855,1.0075352,19.440392,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4252560648649963264",4252560648649963264,280.14477161268155,-8.001217244141147,,,,,20.82949,2.5944118,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4252679395903373568",4252679395903373568,280.5822128334056,-7.472211748189715,1.223922301260927,-5.2422589001695385,-8.106482610402761,0.88938284,20.298525,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4252679395903383424",4252679395903383424,280.58946068811224,-7.465361901774061,,,,,20.561726,2.3884315,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4252528247408490624",4252528247408490624,279.93667317014945,-8.177241038266299,,,,,20.880262,1.1475163,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4203685570133262080",4203685570133262080,283.9472245896108,-8.505603076794824,-0.825828382478853,-0.4855758280316258,-5.672251077327045,1.0008703,20.032171,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4107258297317291776",4107258297317291776,281.45738171962284,-9.93875583011075,,,,,20.633717,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4107232939815507712",4107232939815507712,280.85251884682475,-10.202352646292207,,,,,20.183395,2.7612057,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
